case_id,frequency_hz,omega_rad_s,bubble_r_m,bubble_z_m,static_pressure_pa,liquid_temperature_k,equilibrium_radius_m,pb_real_pa,pb_imag_pa,pb_abs_pa,pb_argument_rad,drive_amplitude_pa,drive_phase_rad
iter0_axisymmetric_near_collapse_stable_manual_config_point,100000,628318.53071795858,0.0070000000000000001,0.023,101325,293.14999999999998,6.0000000000000002e-06,0,20413.24723356084,20413.24723356084,1.5707963267948966,20413.24723356084,-1.5707963267948966
iter0_axisymmetric_near_collapse_stable_candidate_001,100000,628318.53071795858,0.00063254367764700725,0.026856804207409771,101325,293.14999999999998,6.0000000000000002e-06,0,-130479.86149000862,130479.86149000862,-1.5707963267948966,130479.86149000862,1.5707963267948966
iter0_axisymmetric_near_collapse_stable_candidate_002,100000,628318.53071795858,0,0.017758471355846212,101325,293.14999999999998,6.0000000000000002e-06,0,-58463.406595436383,58463.406595436383,-1.5707963267948966,58463.406595436383,1.5707963267948966
iter0_axisymmetric_near_collapse_stable_candidate_003,100000,628318.53071795858,0,0.02718103311638426,101325,293.14999999999998,6.0000000000000002e-06,0,-133789.86664198185,133789.86664198185,-1.5707963267948966,133789.86664198185,1.5707963267948966
iter0_axisymmetric_near_collapse_stable_candidate_004,100000,628318.53071795858,0.00056436826267993942,0.02761280849763189,101325,293.14999999999998,6.0000000000000002e-06,0,-129892.48197035586,129892.48197035586,-1.5707963267948966,129892.48197035586,1.5707963267948966
iter0_axisymmetric_near_collapse_stable_candidate_005,100000,628318.53071795858,0,0.026395819636339409,101325,293.14999999999998,6.0000000000000002e-06,0,-133702.75436326471,133702.75436326471,-1.5707963267948966,133702.75436326471,1.5707963267948966
iter0_axisymmetric_near_collapse_stable_candidate_006,100000,628318.53071795858,0.001232353873816174,0.02734481874833752,101325,293.14999999999998,6.0000000000000002e-06,-0,-124170.21422246672,124170.21422246672,-1.5707963267948966,124170.21422246672,1.5707963267948966
iter0_axisymmetric_near_collapse_stable_candidate_007,100000,628318.53071795858,0.0013763816460469649,0.026594901112623949,101325,293.14999999999998,6.0000000000000002e-06,0,-122490.11051264804,122490.11051264804,-1.5707963267948966,122490.11051264804,1.5707963267948966
iter0_axisymmetric_near_collapse_stable_candidate_008,100000,628318.53071795858,0,0.02796624659642909,101325,293.14999999999998,6.0000000000000002e-06,0,-131681.6888852632,131681.6888852632,-1.5707963267948966,131681.6888852632,1.5707963267948966
iter0_axisymmetric_near_collapse_stable_candidate_009,100000,628318.53071795858,0.00073812726699663822,0.02607661070427374,101325,293.14999999999998,6.0000000000000002e-06,0,-128132.66019791589,128132.66019791589,-1.5707963267948966,128132.66019791589,1.5707963267948966
iter0_axisymmetric_near_collapse_stable_candidate_010,100000,628318.53071795858,0.0011098939386181041,0.02799478618142304,101325,293.14999999999998,6.0000000000000002e-06,0,-123433.88141574073,123433.88141574073,-1.5707963267948966,123433.88141574073,1.5707963267948966
