candidate_id,node_index,r_m,z_m,pressure_re_pa,pressure_im_pa,pressure_abs_pa,pressure_phase_rad,drive_amplitude_pa,drive_phase_rad,gorkov_potential_j,gorkov_force_abs_n,velocity_abs_m_s,local_potential_minimum,score
candidate_001,399,0.00063254367764700725,0.026856804207409771,0,-130479.86149000862,130479.86149000862,-1.5707963267948966,130479.86149000862,1.5707963267948966,1.8726929138553608e-15,3.8969094207169031e-14,0.012805959024708715,0,0.46151497100009892
candidate_002,139,0,0.017758471355846212,0,-58463.406595436383,58463.406595436383,-1.5707963267948966,58463.406595436383,1.5707963267948966,3.95471895081895e-16,7.0527911904826872e-15,0.0078566540373219036,1,0.45384310803199668
candidate_003,828,0,0.02718103311638426,0,-133789.86664198185,133789.86664198185,-1.5707963267948966,133789.86664198185,1.5707963267948966,1.9033746007332442e-15,6.6798320708511689e-14,0.0086975317097811606,0,0.45087444672165006
candidate_004,324,0.00056436826267993942,0.02761280849763189,0,-129892.48197035586,129892.48197035586,-1.5707963267948966,129892.48197035586,1.5707963267948966,1.8547191569276807e-15,5.4354438411385547e-14,0.012681467600712837,0,0.44644049989634504
candidate_005,827,0,0.026395819636339409,0,-133702.75436326471,133702.75436326471,-1.5707963267948966,133702.75436326471,1.5707963267948966,1.9180356389263287e-15,7.1527215252256313e-14,0.010042708062880875,0,0.44289877927216859
candidate_006,863,0.001232353873816174,0.02734481874833752,-0,-124170.21422246672,124170.21422246672,-1.5707963267948966,124170.21422246672,1.5707963267948966,1.8603964650737256e-15,2.0089219627550482e-14,0.019782082615946842,0,0.44007713295471851
candidate_007,302,0.0013763816460469649,0.026594901112623949,0,-122490.11051264804,122490.11051264804,-1.5707963267948966,122490.11051264804,1.5707963267948966,1.8591239194422669e-15,2.2903039643934179e-14,0.021278394996471783,0,0.42648254678550296
candidate_008,325,0,0.02796624659642909,0,-131681.6888852632,131681.6888852632,-1.5707963267948966,131681.6888852632,1.5707963267948966,1.8803372433452856e-15,8.3845287631082679e-14,0.01127565362595317,0,0.42510844833392336
candidate_009,279,0.00073812726699663822,0.02607661070427374,0,-128132.66019791589,128132.66019791589,-1.5707963267948966,128132.66019791589,1.5707963267948966,1.8574762182126008e-15,6.7371857152237313e-14,0.015305856107871461,0,0.4217745504318815
candidate_010,249,0.0011098939386181041,0.02799478618142304,0,-123433.88141574073,123433.88141574073,-1.5707963267948966,123433.88141574073,1.5707963267948966,1.8315582781859379e-15,5.2786898665803708e-14,0.019406300848261008,0,0.40960205298146135
